id,brandcode,cpg_id
61128d4f3ae9e26706435fb7,GEORGE'S QUICK'N EAT,61128ccac17d1b474029efbc
6155c2704878a47d241444a6,CLIF THINS,613f75d3276007374fd751b1
61004cd89ac8f0018ac10ac6,TICONDEROGA,61004cc09ac8f0018ac10ac5
60f833ab251e8b16355ee9bd,SONIC,60f8338b251e8b16355ee9bc
60f8268e251e8b16355ee9bb,WENDYS,60f8265fed274e67f26397c7
610ad829c17d1b474029efb8,CHICK FIL A,610ad7fd3ae9e26706435faf
6113ed75a20afa07cd83b26c,KODIAK CAKES FLAPJACK & WAFFLE MIX 2,6113ebf73dbdab4ae0413c7d
616606295c23681bead7b19d,LITTLE CAESARS,6166058ee9b64e09dda400da
610ae9e63ae9e26706435fb1,TACO BELL REST,610ae9113ae9e26706435fb0
610ac980c17d1b474029efb7,JACK IN THE BOX,610ac9473ae9e26706435fae
61685c70e9b64e09dda400de,COTY FRAGRANCES,61685c4de9b64e09dda400dd
615f1b09e9b64e09dda400d4,WHATABURGER,615f1aea5c23681bead7b194
610c4190c17d1b474029efba,SUBWAY,610c41683ae9e26706435fb6
61659f5be9b64e09dda400d5,ZOUP,61659f375c23681bead7b198
6164a5ef5c23681bead7b197,undefined,53e10d6368abd3c7065097cc
614c8d40848fd614caf84fdc,NULL,6123c1699500c859e2522b06
6165e180e9b64e09dda400d8,DUNKIN DONUTS,6165e0b05c23681bead7b19b
6165f119e9b64e09dda400d9,PIZZA HUT,6165f0a95c23681bead7b19c
6165d4a75c23681bead7b19a,BASKIN ROBBINS,6165d3a1e9b64e09dda400d7
61673210e9b64e09dda400db,POPEYES,616731e25c23681bead7b19e
615b36aa4878a47d241444a9,undefined,5332f5fbe4b03c9a25efd0ba
615333cf915311696f1f0c81,EAT TO BEAT INFLAMMATION,5d5d4fd16d5f3b23d1bc7905
613f75f093669e7edadaff19,CLIF KID,613f75d3276007374fd751b1
613f7772276007374fd751b3,TRILLIANT,613f775f276007374fd751b2
616f1754bd873d085ef47f17,VITAL PROTEINS,616f16d220a9be6780401fee
61003de69ac8f0018ac10ac4,BLUE DIAMOND ALMONDS,60a2d796e50345759644c50d
6149026f0ec0db76b02c2484,SHAMELESS PETS,614902582c9776762c6232f5
60f9ad60ed274e67f26397c8,BAHLSEN,60f9ad3b251e8b16355ee9be
6151e39d915311696f1f0c7f,KING ARTHUR GF BROWNIE MIX,6151e378915311696f1f0c7d
6151e38f915311696f1f0c7e,KING ARTHUR AP FLOUR,6151e378915311696f1f0c7d
