barcode,brand,product_name,size,category_1,category_2,category_3
070923002009,TERRO,"TERRO READY-TO-USE LIQUID ANT KILLER, 2 OZ",NULL,HOUSEHOLD,INSECT & PEST CONTROL,INSECT & PEST CONTROL
764302265122,SHEA MOISTURE,SHEA MOISTURE ANTI FRIZZ HAIR CONDITIONER LIQUID THICK WAVY HAIR RP 10.3 OZ,10 OZ,DAILY HAIR CARE,WASH & CARE,REGULAR/BASIC CONDITIONERS
079400267238,CLEAR,CLEAR SCALP AND HAIR BEAUTY THERAPY TOTAL CA NOURISHING SHAMPOO LIQUID PLASTIC BOTTLE RP 21.9 OZ - 0079400267231,21 OZ,DAILY HAIR CARE,WASH & CARE,SHAMPOO X DRY
8717644013045,AXE,AXE AFRICA DEODORANT REGULAR AEROSOL SPRAY RP 5 OZ,5 OZ,APDEO,BODY SPRAY/MISTS,BODY SPRAY/MISTS
800897115609,NYX PROFESSIONAL MAKEUP,NYX PROFESSIONAL MAKEUP ROUND EXTRA CREAMY ROUND LIPSTICK,1 CT,COLOR COSMETICS,LIP,LIPSTICK
050428617236,CVS,SKIN PROTECTANT ADVANCED SCAR GEL,NULL,FACIAL SKIN CARE,FACIAL TREATMENT,FACIAL TREATMENT
041000004384,LIPTON,LIPTON STRAWBERRY WTRMELON ICED HERBAL TEA TEA CAFFEINE FREE 2 OZ - 0041000004382,NULL,TOTAL TEA,LEAF TEA,SPECIALTY
835229000209,ABSOLUT,ABSOLUT BL 80 24/375 US,375  ML,TOTAL SPIRITS,VODKA,NON FLAVORED
070470271095,YOPLAIT,"YOPLAIT LIGHT NON-FAT YOGURT - VANILLACHERRY,  6OZ",1 PACK,YOGURT,REFRIGERATED YOGURT,TRD SNGL SRV & MPK
016500587439,ONE A DAY,ONE A DAY 50+ ADVANTAGE ADULT MULTIVITAMINS WOMENS MATURE WOMENS TABS/CAPS 40 CT 40 CT RP - 1650058743,40 CT,HEALTH & WELLNESS,NUTRITIONALS,ADULT MULTIVITAMINS
036000364125,HUGGIES,HUGGIES LITTLE MOVERS SIZE SIX DISPOSABLE DIAPER BAG DISNEY TRADEMARK MULTIPLE,NULL,DIAPERS,AB,SUPER COLOSSAL
018000418275,PILLSBURY TOASTER STRUDEL,PILLSBURY TOASTER STRUDEL FROZEN SWEET CREAM CHEESE TOASTER STRUDEL 12.5 OZ - 0018000418271,NULL,FROZEN,PASTRIES,BREAKFAST PASTRIES
079400450302,SUAVE,SUAVE PROFESSIONALS ROSE OIL INFUSION REGULAR SHAMPOO LIQUID NORMAL TO FLAT PLASTIC BOTTLE RP 12.6 OZ,13 OZ,DAILY HAIR CARE,WASH & CARE,REGULAR/ BASIC SHAMPOO
012000064401,BUBLY,BUBLY SPARKLING WATER WATERMELON 7.5 OZ 10 CT 3 PK,7.5 OZ,LRB,WATER,CSD
031284354893,PHILLIPS DIGESTIVE,PHILLIPS COLON HEALTH ADULT PROBIOTICS DIGESTIVE CPSLE 30 CT 36 CT %F,36 CT,HEALTH & WELLNESS,TOTAL DIGESTIVE HEALTH,ADULT PROBIOTICS
016000497269,NATURE VALLEY,NATURE VALLEY SWEET & SALTY TOASTED COCONUT ALMOND GRANOLA BAR - 6 COUNT,6 PACK,SNACK BARS,CEREAL/GRANOLA BARS,CHEWY GRANOLA BAR
055086003193,LOVE BEAUTY AND PLANET,LOVE BEAUTY AND PLANET REGULAR SHAMPOO LIQUID PLASTIC BOTTLE RP 22 OZ - 0055086003191,22 OZ,DAILY HAIR CARE,WASH & CARE,SHAMPOO X DRY
012000170195,MTN DEW AMP,AMP ENERGY ORGANIC GRAPE ENERGY DRINK 12 FLUID OUNCE ALUMINUM CAN,NULL,LRB,ENERGY DRINKS,CSD
855664004075,TAZO,TAZO CHAI VANILL CRML LTT TEA CONCENTRATE 64 OZ,32 OZ,TOTAL TEA,CONVENIENCE TEA,BLACK
016000189966,BETTY CROCKER,BC FRT SNCKS AVENGERS 22CT,22 PACK,SNACKS,WHOLESOME SNACKS,FRUIT CHARACTERS
071249359297,LOREAL PARIS COSMETICS,LOREAL PARIS SUPER BLENDABLE CORRECTING CONCEALER YELLOW WARM,0.1 OZ,COLOR COSMETICS,FACE COSMETICS,CONCEALER
892453001778,AGAINST THE GRAIN,GLUTEN FREE HOT DOG BUNS,14.4 OZ,GROCERY,FROZEN BREAD,BREAD BUNS & DINNER ROLLS
071249274347,LOREAL PARIS COSMETICS,LRL EXT NL LCQR GEL DNT SHY AWY BTL,1 CT,NAIL,NAIL,ENAMEL
891128133028,BARILLA,BARILLA PASTA OTHER STYLES REGIONALI TROFIE LIGURI 1.75 OZ,1.75 OZ,DRY PASTA,GRAIN,OTHER STYLES
071249355688,LOREAL PARIS COSMETICS,LOREAL PARIS COLOUR RICHE MATTE LIP LINER MATTE STERMIND,1 CT,COLOR COSMETICS,LIP,LIP LINER
035700019229,COMMUNITY COFFEE,"COMMUNITY COFFEE GROUND AMERICAN CLASSIC, 12 OZ",12 OZ,PACKAGED COFFEE,COFFEE,GROUND
011111613300,DOVE,DOVE SOAP 4 CT RP 16 OZ - 0011111613301, ,PERSONAL WASH,BAR SOAP,BAR SOAP INCL FACE
070470271057,YOPLAIT,"YOPLAIT LIGHT NON-FAT YOGURT - RASPBERRY LEMONADE,   6OZ",1 PACK,YOGURT,REFRIGERATED YOGURT,TRD SNGL SRV & MPK
078250004543,STEEL RESERVE,STEEL RESERVE HIGH GRAVITY 12 PACK 12OZ AL CAN,12 OZ,BEER,MALT LIQUOR,12PK 12OZ AL CAN
072440144255,BETTER HOMES & GARDENS,BHG WEEKEND HOMES (EACH), ,MAGAZINES,FAMILY/HOME,GARDEN LANDSCAPE
050428497814,CVS,TOOTHBRUSH MEDIUM FULL,1 ,ORAL HYGIENE,TOOTHBRUSH,ADULT
